mailid,authorid,timestamp,main/reply,msglen,qcnt,whcnt,file,text
a07cc1ac-91fd-48a8-ae0e-e818c99f6c67@j24g2000yqa.googlegroups.com,5,"Tue, 1 Dec 2009 15:22:16 -0800 ",1,181,0,1,/home/anuja/Desktop/BE project/features/Dataset/VDum3sUyHOw/0_TJdVGRCOB7oJ.email," Perhaps Bus Error is used for other error messages, but trying toaccess a method of a nil object is where seem to get stuck the mostand a more descriptive error message would help."
1b9faf9b-eda4-49f2-aff1-32941eb0531f@x5g2000prf.googlegroups.com,4,"Tue, 1 Dec 2009 02:57:11 -0800 ",1,530,2,1,/home/anuja/Desktop/BE project/features/Dataset/FDWexIUHs_E/0_YrHdJreOYt4J.email," HiAnyone can help me look at what's wrong with the produced binary ?here is the machine detail.Linux spxb10 2.6.9-67.ELsmp #1 SMP Wed Nov 7 13:56:44 EST 2007 x86_64x86_64 x86_64 GNU/LinuxI can run Go binary in 32bit mode, but fail in 64 bit.I try to compare the assembler codes, there seems some difference inGo 's binary to normal binary.in the .interp section the js instruction has different value.But I am not good a unix and assembler. Can anyone help me find outthe problem ?see the detail at .http://gopaste.org/view/76bB2"
90ed5d0a0912010852k56aaa3fcq38f4dfafc81c82e3@mail.gmail.com,3,"Tue, 1 Dec 2009 08:52:12 -0800",0,593,2,5,/home/anuja/Desktop/BE project/features/Dataset/FDWexIUHs_E/1_t0fpUt6JCjkJ.email," Can you say more about what ""fail"" means?What error message are you getting, etc.Also, can you say more about the system you arerunning?  You said it was Linux 2.6.9 but didn'tsay what distribution.  Most Linux distributions""customize"" the kernel settings or code, which isthe main reason binaries work in one place butnot others.The .interp section is a text string.Both these interp sections have the same bytes:    2f 6c 69 62 36 34 2f 6c 64 2d 6c 69 6e 75 78    2d 78 38 36 2d 36 34 2e 73 6f 2e 32 00which spells out    /lib64/ld-linux-x86-64.so.2The problem is likely somewhere else.Russ"
c9c0213c-0fd0-4b7c-8632-7c4f38927e4e@m3g2000yqf.googlegroups.com,4,"Tue, 1 Dec 2009 17:40:51 -0800 ",0,684,2,3,/home/anuja/Desktop/BE project/features/Dataset/FDWexIUHs_E/2_mO_mWW1dE7gJ.email," Hi Russ,Thanks for your reply. I am not root at these machine. So I don't knowif there is some customize.The binary execute just throw a ""Killed"", not thing else. I thinkthere maybe something wrong in the initial part of binary load.I just don't know how to dig it deeper. Can you give me someinstruction to  find out the possible problem ?I also find there is some problem when go try to open file not atlocal disk. I wonder if you have tried Go one NFS?(My company use EMC, which I think is very stable one).System detail:cat /etc/redhat-releaseRed Hat Enterprise Linux AS release 4 (Nahant Update 6)The spec of the machine is .AS4 (64-bit)    2.6.9-67.ELsmp  IntXeon 2.93G, RAM72G"
a84d7bc60912011743l5518d64cic4fe3d55e6b2a957@mail.gmail.com,0,"Tue, 1 Dec 2009 17:43:45 -0800",0,182,1,0,/home/anuja/Desktop/BE project/features/Dataset/FDWexIUHs_E/3_junwsqLDk9IJ.email," If you have an older build of the code, you might be hitting:http://code.google.com/p/go/issues/detail?id=47In short: Red Hat Enterprise might be preventing mapping of W+X pages.AGL"
8dbf4aff-afe3-4886-ba8a-2e5fd3495cfa@j24g2000yqa.googlegroups.com,4,"Tue, 1 Dec 2009 17:51:29 -0800 ",0,133,0,0,/home/anuja/Desktop/BE project/features/Dataset/FDWexIUHs_E/4_9-Krb0c9qEgJ.email," Hi Adam,The symptom is not quite the same. The machine can correctly produce386 binary and working. It's just failed in amd64 archi."
90ed5d0a0912011757te99ff6aud038e826a5d09684@mail.gmail.com,3,"Tue, 1 Dec 2009 17:57:47 -0800",0,187,0,1,/home/anuja/Desktop/BE project/features/Dataset/FDWexIUHs_E/5_MlvX0Mw0V00J.email, Feel free to open a bug on the issue trackerwith a subject likeRed Hat Enterprise AS4: 6.out Killedso that we know about the issue.Maybe someone else will know what couldbe going on.Russ
200912012104.53161.ibw@isaacwagner.me,2,"Tue, 1 Dec 2009 21:04:52 -0500",1,191,1,0,/home/anuja/Desktop/BE project/features/Dataset/xidtvFVP9vU/0_lA0YkfSpWWwJ.email," I'm looking at the math package and I'm not seeing a cot function (cotangent). Is it under a name that I am not recognizing, or is this function truly not in the math package?-- Isaac Wagner"
200912012113.37899.ibw@isaacwagner.me,2,"Tue, 1 Dec 2009 21:13:37 -0500",0,65,0,0,/home/anuja/Desktop/BE project/features/Dataset/xidtvFVP9vU/1_Sq0YJY6WHbgJ.email," Actually, completely disregard that last email...-- Isaac Wagner"
d1d4565f-afef-4d1c-bccd-de35ddc896f0@m26g2000yqb.googlegroups.com,1,"Tue, 1 Dec 2009 18:24:01 -0800 ",0,33,0,0,/home/anuja/Desktop/BE project/features/Dataset/xidtvFVP9vU/2_6VumGQ_U15wJ.email, yeaaaa... cot = tan^-1 = cos/sin
